"County","FIPS","Value (Dollars)","Rank within US (of 3141 counties)"
"Trinity County",06105,"53,498","2,457"
"Siskiyou County",06093,"55,499","2,309"
"Imperial County",06025,"56,393","2,246"
"Modoc County",06049,"56,648","2,221"
"Lake County",06033,"58,738","2,055"
"Sierra County",06091,"60,000","1,915"
"Humboldt County",06023,"61,135","1,802"
"Tehama County",06103,"61,834","1,739"
"Lassen County",06035,"64,395","1,515"
"Mendocino County",06045,"64,688","1,476"
"Plumas County",06063,"64,946","1,436"
"Merced County",06047,"65,044","1,420"
"Mariposa County",06043,"65,378","1,392"
"Del Norte County",06015,"66,780","1,299"
"Kern County",06029,"67,660","1,234"
"Butte County",06007,"68,574","1,152"
"Kings County",06031,"68,750","1,139"
"Tulare County",06107,"69,489","1,095"
"Glenn County",06021,"70,487","1,018"
"Fresno County",06019,"71,434","945"
"Shasta County",06089,"71,931","900"
"Tuolumne County",06109,"72,259","886"
"Inyo County",06027,"72,432","870"
"Yuba County",06115,"73,313","796"
"Colusa County",06011,"75,149","704"
"Sutter County",06101,"75,450","692"
"Madera County",06039,"75,496","690"
"Stanislaus County",06099,"79,661","518"
"Calaveras County",06009,"79,877","511"
"Amador County",06005,"81,526","458"
"San Bernardino County",06071,"82,184","440"
"Nevada County",06057,"84,905","361"
"Mono County",06051,"86,953","313"
"Los Angeles County",06037,"87,760","294"
"San Joaquin County",06077,"88,531","279"
"Sacramento County",06067,"88,724","273"
"Yolo County",06113,"88,818","271"
"Riverside County",06065,"89,672","258"
"San Luis Obispo County",06079,"93,398","219"
"Monterey County",06053,"94,486","202"
"Santa Barbara County",06083,"95,977","184"
"Solano County",06095,"99,994","150"
"San Diego County",06073,"102,285","131"
"Sonoma County",06097,"102,840","122"
"El Dorado County",06017,"106,190","107"
"Ventura County",06111,"107,327","100"
"San Benito County",06069,"108,289","91"
"Napa County",06055,"108,970","87"
"Santa Cruz County",06087,"109,266","84"
"Alpine County",06003,"110,781","73"
"Orange County",06059,"113,702","64"
"Placer County",06061,"114,678","57"
"Contra Costa County",06013,"125,727","33"
"Alameda County",06001,"126,240","31"
"San Francisco County",06075,"141,446","11"
"Marin County",06041,"142,785","10"
"San Mateo County",06081,"156,000","3"
"Santa Clara County",06085,"159,674","2"
